sr,id,vehicle_name,vehicle_no,vehicle_type,vehicle_model,engine_no,chassis_no,status
241,96d08b8af48c7832f8cd,hero honda,538927,truck,234235,1231245555555555,346346,0
239,2cedac51de5cefbc770e,hero ,32425,motor cycle,3466756,1241245,315235,1
240,ff7ba7fa3530fa976167,hero ,2525,truck,14187247,525235,2636352,0
238,9d481b519f29dfe44bb4,maruti suzuki,345463453,car,45826358,12414,2535,0
236,5137687a4dbcd032a9ee,hero honda,4124,bus,41415,53452,2535,0
234,cd2d0616b7c6e65aef41,hero ,23536,truck,636,2666,4256,0
235,4b56804dc6e1add782ca,ferari,756494766,car,JGHG866JBHv,28939651,728974198,0
226,ef77805da1c789009826,hero ,23536,truck,636,2666,4256,0
227,e41823be3e2ff53cfaf3,hero honda,4124,bus,41415,53452,2535,0
229,34d6ecf08918f22cae84,ferari,756494766,car,JGHG866JBHv,28939651,728974198,0
230,2d5376958f304aac6c37,hero ,2525,truck,14187247,525235,2636352,0
231,7f72d98bca9615dca8c1,maruti suzuki,345463453,car,45826358,12414,2535,0
233,d99c4608f4984137aa20,hero ,32425,motor cycle,3466756,1241245,315235,1
232,cffc29a16ec64fb9c0bc,hero honda,538927,truck,234235,1231245555555555,346346,0
225,05c03509ff47faeded26,hero honda,538927,truck,234235,1231245555555555,346346,0
222,01f384778957af4fe254,maruti suzuki,345463453,car,45826358,12414,2535,0
224,77873eb714b000cf187d,hero ,2525,truck,14187247,525235,2636352,0
223,bb75ae000f6cbfaa705a,hero ,32425,motor cycle,3466756,1241245,315235,1
221,b65e00e0ee1bcf397aad,hero honda,4124,bus,41415,53452,2535,0
218,94f69b27a9b3aa21de66,hero ,23536,truck,636,2666,4256,0
219,55e9f84be49d4fb8b767,ferari,756494766,car,JGHG866JBHv,28939651,728974198,0